year,node_out,node_in,type,re_export_A,trf_A,capacity_A,capacity_constrained_A,inv_A,loss_A,emm_type_1,emm_A_1,emm_type_2,emm_A_2
2012,AZ_R,NV_R,Rail,0,2.14,0,0,1.5,0,GHG,0,,
2012,AZ_R,UT_R,Rail,0,2.1,0,0,1.5,0,GHG,0,,
2012,CA_R,AZ_R,Rail,0,2.27,0,0,1.5,0,GHG,0,,
2012,CA_R,NV_R,Rail,0,1.48,0,0,1.5,0,GHG,0,,
2012,CA_R,OR_R,Rail,0,2.52,0,0,1.5,0,GHG,0,,
2012,CO_R,KS_R,Rail,0,1.96,0,0,1.5,0,GHG,0,,
2012,CO_R,NE_R,Rail,0,1.99,0,0,1.5,0,GHG,0,,
2012,CO_R,NM_R,Rail,0,1.71,0,0,1.5,0,GHG,0,,
2012,CO_R,OK_R,Rail,0,2.12,0,0,1.5,0,GHG,0,,
2012,CO_R,UT_R,Rail,0,1.87,0,0,1.5,0,GHG,0,,
2012,CO_R,WY_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,CT_R,NY_R,Rail,0,1.22,0,0,1.5,0,GHG,0,,
2012,DE_R,MD_R,Rail,0,1.09,0,0,1.5,0,GHG,0,,
2012,DE_R,PA_R,Rail,0,1.24,0,0,1.5,0,GHG,0,,
2012,EC_R,MI_R,Rail,0,7.88,0,0,1.5,0,GHG,0,,
2012,EC_R,MN_R,Rail,0,9.01,0,0,1.5,0,GHG,0,,
2012,EC_R,NY_R,Rail,0,3.35,0,0,1.5,0,GHG,0,,
2012,EC_R,VT_R,Rail,0,2.88,0,0,1.5,0,GHG,0,,
2012,EC_R,WC_R,Rail,0,6,0,0,1.5,0,GHG,0,,
2012,FL_R,AL_R,Rail,0,2.15,0,0,1.5,0,GHG,0,,
2012,FL_R,GA_R,Rail,0,1.92,0,0,1.5,0,GHG,0,,
2012,GA_R,AL_R,Rail,0,1.4,0,0,1.5,0,GHG,0,,
2012,GA_R,FL_R,Rail,0,1.92,0,0,1.5,0,GHG,0,,
2012,GA_R,SC_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,GA_R,TN_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,IA_R,IL_R,Rail,0,1.57,0,0,1.5,0,GHG,0,,
2012,IA_R,MN_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,IA_R,MO_R,Rail,0,1.58,0,0,1.5,0,GHG,0,,
2012,IA_R,NE_R,Rail,0,1.63,0,0,1.5,0,GHG,0,,
2012,IA_R,SD_R,Rail,0,1.86,0,0,1.5,0,GHG,0,,
2012,IA_R,WI_R,Rail,0,1.55,0,0,1.5,0,GHG,0,,
2012,ID_R,MT_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,ID_R,NV_R,Rail,0,2.06,0,0,1.5,0,GHG,0,,
2012,ID_R,OR_R,Rail,0,12.93,0,0,1.5,0,GHG,0,,
2012,ID_R,UT_R,Rail,0,1.76,0,0,1.5,0,GHG,0,,
2012,ID_R,WA_R,Rail,0,13,0,0,1.5,0,GHG,0,,
2012,ID_R,WC_R,Rail,0,10.39,0,0,1.5,0,GHG,0,,
2012,ID_R,WY_R,Rail,0,1.94,0,0,1.5,0,GHG,0,,
2012,IL_R,IA_R,Rail,0,1.57,0,0,1.5,0,GHG,0,,
2012,IL_R,IN_R,Rail,0,1.3,0,0,1.5,0,GHG,0,,
2012,IL_R,KY_R,Rail,0,1.71,0,0,1.5,0,GHG,0,,
2012,IL_R,MO_R,Rail,0,1.49,0,0,1.5,0,GHG,0,,
2012,IL_R,WI_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,IN_R,IL_R,Rail,0,1.3,0,0,1.5,0,GHG,0,,
2012,IN_R,KY_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,IN_R,MI_R,Rail,0,1.6,0,0,1.5,0,GHG,0,,
2012,IN_R,OH_R,Rail,0,1.41,0,0,1.5,0,GHG,0,,
2012,KS_R,CO_R,Rail,0,1.96,0,0,1.5,0,GHG,0,,
2012,KS_R,MO_R,Rail,0,1.56,0,0,1.5,0,GHG,0,,
2012,KS_R,NE_R,Rail,0,1.43,0,0,1.5,0,GHG,0,,
2012,KS_R,OK_R,Rail,0,1.26,0,0,1.5,0,GHG,0,,
2012,KY_R,IL_R,Rail,0,1.71,0,0,1.5,0,GHG,0,,
2012,KY_R,IN_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,KY_R,MO_R,Rail,0,2.04,0,0,1.5,0,GHG,0,,
2012,KY_R,OH_R,Rail,0,1.48,0,0,1.5,0,GHG,0,,
2012,KY_R,TN_R,Rail,0,1.13,0,0,1.5,0,GHG,0,,
2012,KY_R,VA_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,KY_R,WV_R,Rail,0,1.21,0,0,1.5,0,GHG,0,,
2012,LA_R,AR_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,LA_R,MS_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,LA_R,TX_R,Rail,0,1.83,0,0,1.5,0,GHG,0,,
2012,MA_R,NY_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,MA_R,RI_R,Rail,0,1,0,0,1.5,0,GHG,0,,
2012,MD_R,DE_R,Rail,0,1.09,0,0,1.5,0,GHG,0,,
2012,MD_R,PA_R,Rail,0,1.19,0,0,1.5,0,GHG,0,,
2012,MD_R,VA_R,Rail,0,1.22,0,0,1.5,0,GHG,0,,
2012,MD_R,WV_R,Rail,0,1.52,0,0,1.5,0,GHG,0,,
2012,MI_R,EC_R,Rail,0,4.88,0,0,1.5,0,GHG,0,,
2012,MI_R,IN_R,Rail,0,1.6,0,0,1.5,0,GHG,0,,
2012,MI_R,OH_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,MI_R,WI_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,MN_R,EC_R,Rail,0,5.01,0,0,1.5,0,GHG,0,,
2012,MN_R,IA_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,MN_R,ND_R,Rail,0,1.73,0,0,1.5,0,GHG,0,,
2012,MN_R,SD_R,Rail,0,1.68,0,0,1.5,0,GHG,0,,
2012,MN_R,WC_R,Rail,0,11.2,0,0,1.5,0,GHG,0,,
2012,MN_R,WI_R,Rail,0,1.53,0,0,1.5,0,GHG,0,,
2012,MO_R,AR_R,Rail,0,1.56,0,0,1.5,0,GHG,0,,
2012,MO_R,IA_R,Rail,0,1.58,0,0,1.5,0,GHG,0,,
2012,MO_R,IL_R,Rail,0,1.49,0,0,1.5,0,GHG,0,,
2012,MO_R,KS_R,Rail,0,1.56,0,0,1.5,0,GHG,0,,
2012,MO_R,KY_R,Rail,0,2.04,0,0,1.5,0,GHG,0,,
2012,MO_R,NE_R,Rail,0,1.9,0,0,1.5,0,GHG,0,,
2012,MO_R,OK_R,Rail,0,1.79,0,0,1.5,0,GHG,0,,
2012,MO_R,TN_R,Rail,0,1.88,0,0,1.5,0,GHG,0,,
2012,MS_R,AL_R,Rail,0,1.35,0,0,1.5,0,GHG,0,,
2012,MS_R,AR_R,Rail,0,1.49,0,0,1.5,0,GHG,0,,
2012,MS_R,LA_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,MS_R,TN_R,Rail,0,1.62,0,0,1.5,0,GHG,0,,
2012,MT_R,ID_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,MT_R,ND_R,Rail,0,2.25,0,0,1.5,0,GHG,0,,
2012,MT_R,SD_R,Rail,0,2.41,0,0,1.5,0,GHG,0,,
2012,MT_R,WA_R,Rail,0,20.43,0,0,1.5,0,GHG,0,,
2012,MT_R,WC_R,Rail,0,9.82,0,0,1.5,0,GHG,0,,
2012,MT_R,WY_R,Rail,0,1.79,0,0,1.5,0,GHG,0,,
2012,NC_R,SC_R,Rail,0,1.28,0,0,1.5,0,GHG,0,,
2012,NC_R,TN_R,Rail,0,1.66,0,0,1.5,0,GHG,0,,
2012,NC_R,VA_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,ND_R,EC_R,Rail,0,2,17,1,1.5,0,GHG,0,,
2012,ND_R,MN_R,Rail,0,1.73,0,0,1.5,0,GHG,0,,
2012,ND_R,MT_R,Rail,0,2.25,0,0,1.5,0,GHG,0,,
2012,ND_R,SD_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,ND_R,WC_R,Rail,0,10.39,0,0,1.5,0,GHG,0,,
2012,NE_R,CO_R,Rail,0,1.99,0,0,1.5,0,GHG,0,,
2012,NE_R,IA_R,Rail,0,1.63,0,0,1.5,0,GHG,0,,
2012,NE_R,KS_R,Rail,0,1.43,0,0,1.5,0,GHG,0,,
2012,NE_R,MO_R,Rail,0,1.9,0,0,1.5,0,GHG,0,,
